0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
5.4855391435803,,-9.802979673022666,0.48454165102577207,2.1859251266213735,Mercedes-Benz,R-Class,R 350 LWB 4matic,Wagon,Petrol,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,Black,Beige,No,Dubai,Owner,25000
4.5360368641988265,9.725482737565077,-49.590489776747184,0.2965492284323801,0.9808173790111059,Mercedes-Benz,E-Class,E 300,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Blue,Beige,Yes,Dubai,Dealer,380000
4.714773945934651,9.733515622373508,,0.4558890298825113,0.9720633970908242,BMW,1-Series,125i Sport-line,Hatchback,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Blue,Brown,No,Dubai,Dealer,109990
5.000904202826288,9.734836051236941,-29.014900627492217,0.4672841707501261,1.1064153015181881,Peugeot,3008,Active,Hatchback,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Red,Unknown,No,Dubai,Dealer,55000
5.610284216684301,9.715002977722529,56.39425788590625,,0.16370157015120557,Mercedes-Benz,E-Class,E 55 AMG,Sedan,Petrol,Automatic Transmission,,,Black,Black,Does not apply,Dubai,Dealer,58000
5.241511211276154,9.667854751942789,-8.25594941393842,0.5180778320986048,0.7384059807583878,Honda,Accord,V6 Sport,Coupe,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,Black,Beige,No,Dubai,Owner,40000
4.725597189858239,9.71755795917378,-74.459791887899,0.3352040668179462,1.2504522327457497,Mitsubishi,ASX,GLX,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Red,Black,Yes,Dubai,Dealer,56500
5.579600635217224,9.699345545980307,-74.2626120340299,0.6811876094446871,,Fiat,Fiat-500,Sport,Coupe,Petrol,Automatic Transmission,1000 - 1499 cc,100 - 199 HP,Yellow,Black,Does not apply,Dubai,Owner,13900
5.207386888539886,9.662258356051405,-3.0040514487365977,0.5445194208959687,0.8502964553587529,Mercedes-Benz,E-Class,E 350,Soft Top Convertible,Petrol,Automatic Transmission,,200 - 299 HP,White,Tan,No,Dubai,Dealer,62000
4.4948161857191815,9.764298959425162,-45.90268913220946,0.342751190785363,0.8842722102849616,MG,ZS,Luxury,SUV,Petrol,Automatic Transmission,1000 - 1499 cc,0 - 99 HP,White,White,No,Dubai,Dealer,48500
4.435325225192833,9.656046318307085,-57.634736632989195,,0.6404813509162397,Ford,Mustang,Ecoboost Premium,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Grey,Black,Yes,Ajman,Dealer,75000
4.8577341206001075,9.718871344529461,-140.31608224113967,0.536810467714858,1.723004871107822,Tesla,Model X,Standard,SUV,Electric,Automatic Transmission,Unknown,Unknown,White,White,Yes,Dubai,Dealer,234999
4.624570046745379,9.762628408114319,-71.57990299437938,0.37207370161857567,2.223808678656153,GAC,GS8,GL,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Black,Yes,Dubai,Dealership/Certified Pre-Owned,139900
4.924401328542154,9.73418288055664,28.333672087482825,0.521480590230255,,Maserati,Ghibli,Ghibli S Q4,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,Unknown,Does not apply,Dubai,Dealer,99000
4.3436109249507275,9.721891340303502,194.85354151613265,,0.7429106759629,Rolls-Royce,Phantom,Other,Sedan,Petrol,Automatic Transmission,,500 - 599 HP,Black,Black,Yes,Dubai,Dealer,2590
4.6292561569959405,9.657554923443838,89.98080305613513,0.4342468951154267,0.8011460596856825,Audi,S6/RS6,RS,Hatchback,Petrol,Automatic Transmission,,600 - 699 HP,Black,Black,Yes,Dubai,Dealer,365000
4.625852671323331,9.74521562342953,-151.56909362620956,0.4065100509692272,2.5387277143159075,Tesla,Model X,Other,SUV,Electric,Automatic Transmission,Unknown,500 - 599 HP,White,Black,No,Abu Dhabi,Dealer,250000
4.834904381836572,9.758883675506686,-82.34425727591307,0.5290892311800686,1.3201948331153581,Kia,Sportage,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Other Color,Black,Yes,Sharjah,Owner,44400
4.5862640369498955,9.739414183971698,-13.180564185099419,0.5469256409772547,2.244101073679907,BMW,X7,40i M Sport,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,300 - 399 HP,White,Other Color,Yes,Dubai,Dealership/Certified Pre-Owned,284000
5.176530248816262,9.761830712818982,29.791280920326127,0.6165950314975378,1.763102336623156,Mitsubishi,Pajero,GLS,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,100 - 199 HP,Brown,Beige,No,Dubai,Dealer,39500
4.857808269708891,9.752549230337934,-47.59040385675553,0.4667380664221572,1.0727356881929033,Nissan,X-Trail,SV,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,100 - 199 HP,Blue,Beige,No,Dubai,Dealer,72000
4.259993458800116,9.744361269017457,71.43169513960837,0.2607452828847398,0.867280655195529,Land Rover,Range Rover,SV Autobiography,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Black,Black,Yes,Dubai,Dealer,1050
4.598229709028526,9.71177589384043,-36.23528537181701,0.3213411417342565,0.8364020495051503,Toyota,Camry,Grande,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Silver,Other Color,Does not apply,Dubai,Dealer,105000
5.290337109563279,9.71252423269089,,,0.28367003359092613,Mercedes-Benz,C-Class,C200,Sedan,Petrol,Automatic Transmission,,200 - 299 HP,Black,Black,No,Dubai,Owner,53000
5.360179085486256,9.75114653012948,-7.100142957514448,0.8016608856053267,2.5731264861510534,Audi,Q7,S-line,SUV,Petrol,Automatic Transmission,4000+ cc,200 - 299 HP,Blue,Beige,Does not apply,Dubai,Dealer,49500
5.031207504304444,9.758406841432947,22.189653827616063,0.8272892878273327,2.0162876465590744,Nissan,Pathfinder,SV,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,Beige,Beige,No,Abu Dhabi,Dealer,34000
5.009160475678362,9.763998618573071,78.0492011028729,0.7530156732018377,0.9130733530396422,Land Rover,Range Rover Sport,Supercharged,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,400 - 499 HP,White,Black,Yes,Dubai,Owner,105000
4.566075500918965,9.715739050742183,21.57623965436752,0.34276036743029936,1.0155239774372837,Lexus,RX-Series,Other,SUV,Petrol,Automatic Transmission,,200 - 299 HP,Blue,Tan,Yes,Dubai,Dealer,225000
4.280568218179228,9.747580710497198,155.39094465186642,0.3235961575211431,0.8325737696187949,Rolls-Royce,Cullinan,Black Badge,SUV,Petrol,Automatic Transmission,,500 - 599 HP,White,Blue,Yes,Dubai,Dealer,2250
4.429251155445778,9.739978088106067,29.204814788213003,0.4404523163683548,0.9662263448238124,Toyota,FJ Cruiser,GXR,SUV,Petrol,Automatic Transmission,4000+ cc,200 - 299 HP,Grey,Black,No,Dubai,Dealer,149900
5.329781597656898,9.733074960370129,69.64204781495934,0.647416982358464,2.113495650342133,Cadillac,Escalade,ESV Platinum,SUV,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Black,Brown,No,Dubai,Owner,57000
4.647988071826178,9.665168106282385,80.10669458784372,0.2822623128304058,0.4689336032024994,McLaren,Senna,Other,Sports Car,Petrol,Automatic Transmission,4000+ cc,700 - 799 HP,White,Black,Yes,Dubai,Dealer,4399
